Date,ATR,CCI,MACD,MTM,ROC,RSI,open,low,high,close,chg,pct_chg
2015-01-12,99.2050,19.3541,160.2753,-20.1290,5.6739,50.8317,3531.5150,3461.3220,3560.5270,3513.5760,-33.1470,-0.9346
2015-01-13,55.3900,19.8044,149.5234,-127.5010,8.7808,50.9368,3506.4510,3494.7680,3550.1580,3514.0400,0.4640,0.0132
2015-01-14,75.6820,4.8431,138.4689,-138.6360,5.0070,47.8613,3522.9070,3471.5600,3547.2420,3502.4230,-11.6170,-0.3306
2015-01-15,121.8510,37.6207,136.3426,-39.6690,4.5934,68.0969,3501.7190,3482.2700,3604.1210,3604.1210,101.6980,2.9036
2015-01-16,60.9000,89.8009,135.5979,75.8870,5.2002,72.0659,3616.2480,3601.2580,3662.1580,3635.1460,31.0250,0.8608
2015-01-19,304.1650,-154.3408,111.1337,-191.5680,-2.9616,30.7020,3414.0130,3330.9810,3497.2520,3355.1550,-279.9910,-7.7023
2015-01-20,93.5230,-149.4583,93.9761,-117.3540,-3.8906,37.0604,3336.7930,3325.6810,3419.2040,3396.2220,41.0670,1.2240
2015-01-21,161.5720,-37.1704,91.6408,34.8450,-2.5444,55.3400,3420.4910,3409.4300,3557.7940,3548.8850,152.6630,4.4951
2015-01-22,56.7030,8.6597,90.2608,65.1900,-2.0172,57.1711,3551.0520,3520.0530,3576.7560,3567.6130,18.7280,0.5277
2015-01-23,79.1800,41.2609,88.4796,-32.3890,-1.9776,57.6296,3582.0880,3548.6260,3627.8060,3571.7320,4.1190,0.1155
2015-01-26,52.2410,57.8898,88.9677,-27.1610,1.3690,61.9337,3580.1180,3559.3760,3611.6170,3607.9850,36.2530,1.0150
2015-01-27,106.2410,37.7330,85.6994,219.7760,0.7953,55.7387,3614.0380,3510.0170,3616.2580,3574.9310,-33.0540,-0.9161
2015-01-28,70.9190,10.8386,78.2049,129.1010,0.3343,47.2305,3547.2390,3512.3930,3583.3120,3525.3230,-49.6080,-1.3877
2015-01-29,71.4220,-55.0909,67.9698,-67.0870,-0.9175,40.6909,3474.9150,3453.9010,3505.5820,3481.7980,-43.5250,-1.2346
2015-01-30,82.2810,-71.1192,55.3944,-133.2230,-1.9425,34.4553,3496.8850,3431.9360,3514.2170,3434.3900,-47.4080,-1.3616
2015-02-02,87.3050,-139.4233,38.4946,-217.7720,-6.9410,26.2621,3360.1930,3347.0850,3407.2560,3353.9600,-80.4300,-2.3419
2015-02-03,87.7490,-80.5435,31.4750,-170.5400,-5.4386,43.1118,3388.6020,3360.7170,3441.7090,3437.4450,83.4850,2.4891
2015-02-04,77.2520,-59.2979,22.7707,-173.1630,1.3893,38.5898,3446.1440,3399.5650,3476.8170,3401.7680,-35.6770,-1.0379
2015-02-05,121.0890,-66.7035,12.9137,-158.3770,-0.8620,34.3676,3487.9510,3366.8620,3487.9510,3366.9460,-34.8220,-1.0236
2015-02-06,88.1160,-132.0878,0.6942,-169.3780,-6.6631,28.5070,3352.3300,3285.9350,3374.0510,3312.4200,-54.5260,-1.6194
2015-02-09,77.9290,-110.7717,-6.2149,-88.4690,-6.2140,36.4917,3305.7340,3298.5970,3376.5260,3345.9210,33.5010,1.0114
2015-02-10,67.6320,-63.4450,-6.6894,52.9830,-4.6137,48.9534,3345.0770,3339.5480,3407.1800,3406.9430,61.0220,1.8238
